Id,Dataset,Filepath,Filename,Ext,Speaker,Text,Gender,Intensity/Level,Emotion
0,CREMA-D,./dataset/crema-d\AudioWAV\1001_DFA_ANG_XX.wav,1001_DFA_ANG_XX.wav,.wav,Crema_1001,Don't forget a jacket,Male,Unspecified,Anger
1,CREMA-D,./dataset/crema-d\AudioWAV\1001_DFA_DIS_XX.wav,1001_DFA_DIS_XX.wav,.wav,Crema_1001,Don't forget a jacket,Male,Unspecified,Disgust
2,CREMA-D,./dataset/crema-d\AudioWAV\1001_DFA_FEA_XX.wav,1001_DFA_FEA_XX.wav,.wav,Crema_1001,Don't forget a jacket,Male,Unspecified,Fear
3,CREMA-D,./dataset/crema-d\AudioWAV\1001_DFA_HAP_XX.wav,1001_DFA_HAP_XX.wav,.wav,Crema_1001,Don't forget a jacket,Male,Unspecified,Happy
4,CREMA-D,./dataset/crema-d\AudioWAV\1001_DFA_NEU_XX.wav,1001_DFA_NEU_XX.wav,.wav,Crema_1001,Don't forget a jacket,Male,Unspecified,Neutral
5,CREMA-D,./dataset/crema-d\AudioWAV\1001_DFA_SAD_XX.wav,1001_DFA_SAD_XX.wav,.wav,Crema_1001,Don't forget a jacket,Male,Unspecified,Sad
6,CREMA-D,./dataset/crema-d\AudioWAV\1001_IEO_ANG_HI.wav,1001_IEO_ANG_HI.wav,.wav,Crema_1001,It's eleven o'clock,Male,High,Anger
7,CREMA-D,./dataset/crema-d\AudioWAV\1001_IEO_ANG_LO.wav,1001_IEO_ANG_LO.wav,.wav,Crema_1001,It's eleven o'clock,Male,Low,Anger
8,CREMA-D,./dataset/crema-d\AudioWAV\1001_IEO_ANG_MD.wav,1001_IEO_ANG_MD.wav,.wav,Crema_1001,It's eleven o'clock,Male,Medium,Anger
9,CREMA-D,./dataset/crema-d\AudioWAV\1001_IEO_DIS_HI.wav,1001_IEO_DIS_HI.wav,.wav,Crema_1001,It's eleven o'clock,Male,High,Disgust
10,CREMA-D,./dataset/crema-d\AudioWAV\1001_IEO_DIS_LO.wav,1001_IEO_DIS_LO.wav,.wav,Crema_1001,It's eleven o'clock,Male,Low,Disgust
11,CREMA-D,./dataset/crema-d\AudioWAV\1001_IEO_DIS_MD.wav,1001_IEO_DIS_MD.wav,.wav,Crema_1001,It's eleven o'clock,Male,Medium,Disgust
12,CREMA-D,./dataset/crema-d\AudioWAV\1001_IEO_FEA_HI.wav,1001_IEO_FEA_HI.wav,.wav,Crema_1001,It's eleven o'clock,Male,High,Fear
13,CREMA-D,./dataset/crema-d\AudioWAV\1001_IEO_FEA_LO.wav,1001_IEO_FEA_LO.wav,.wav,Crema_1001,It's eleven o'clock,Male,Low,Fear
14,CREMA-D,./dataset/crema-d\AudioWAV\1001_IEO_FEA_MD.wav,1001_IEO_FEA_MD.wav,.wav,Crema_1001,It's eleven o'clock,Male,Medium,Fear
15,CREMA-D,./dataset/crema-d\AudioWAV\1001_IEO_HAP_HI.wav,1001_IEO_HAP_HI.wav,.wav,Crema_1001,It's eleven o'clock,Male,High,Happy
16,CREMA-D,./dataset/crema-d\AudioWAV\1001_IEO_HAP_LO.wav,1001_IEO_HAP_LO.wav,.wav,Crema_1001,It's eleven o'clock,Male,Low,Happy
17,CREMA-D,./dataset/crema-d\AudioWAV\1001_IEO_HAP_MD.wav,1001_IEO_HAP_MD.wav,.wav,Crema_1001,It's eleven o'clock,Male,Medium,Happy
18,CREMA-D,./dataset/crema-d\AudioWAV\1001_IEO_NEU_XX.wav,1001_IEO_NEU_XX.wav,.wav,Crema_1001,It's eleven o'clock,Male,Unspecified,Neutral
19,CREMA-D,./dataset/crema-d\AudioWAV\1001_IEO_SAD_HI.wav,1001_IEO_SAD_HI.wav,.wav,Crema_1001,It's eleven o'clock,Male,High,Sad
20,CREMA-D,./dataset/crema-d\AudioWAV\1001_IEO_SAD_LO.wav,1001_IEO_SAD_LO.wav,.wav,Crema_1001,It's eleven o'clock,Male,Low,Sad
21,CREMA-D,./dataset/crema-d\AudioWAV\1001_IEO_SAD_MD.wav,1001_IEO_SAD_MD.wav,.wav,Crema_1001,It's eleven o'clock,Male,Medium,Sad
22,CREMA-D,./dataset/crema-d\AudioWAV\1001_IOM_ANG_XX.wav,1001_IOM_ANG_XX.wav,.wav,Crema_1001,I'm on my way to the meeting,Male,Unspecified,Anger
23,CREMA-D,./dataset/crema-d\AudioWAV\1001_IOM_DIS_XX.wav,1001_IOM_DIS_XX.wav,.wav,Crema_1001,I'm on my way to the meeting,Male,Unspecified,Disgust
24,CREMA-D,./dataset/crema-d\AudioWAV\1001_IOM_FEA_XX.wav,1001_IOM_FEA_XX.wav,.wav,Crema_1001,I'm on my way to the meeting,Male,Unspecified,Fear
25,CREMA-D,./dataset/crema-d\AudioWAV\1001_IOM_HAP_XX.wav,1001_IOM_HAP_XX.wav,.wav,Crema_1001,I'm on my way to the meeting,Male,Unspecified,Happy
26,CREMA-D,./dataset/crema-d\AudioWAV\1001_IOM_NEU_XX.wav,1001_IOM_NEU_XX.wav,.wav,Crema_1001,I'm on my way to the meeting,Male,Unspecified,Neutral
27,CREMA-D,./dataset/crema-d\AudioWAV\1001_IOM_SAD_XX.wav,1001_IOM_SAD_XX.wav,.wav,Crema_1001,I'm on my way to the meeting,Male,Unspecified,Sad
28,CREMA-D,./dataset/crema-d\AudioWAV\1001_ITH_ANG_XX.wav,1001_ITH_ANG_XX.wav,.wav,Crema_1001,I think I have a doctor's appointment,Male,Unspecified,Anger
29,CREMA-D,./dataset/crema-d\AudioWAV\1001_ITH_DIS_XX.wav,1001_ITH_DIS_XX.wav,.wav,Crema_1001,I think I have a doctor's appointment,Male,Unspecified,Disgust
30,CREMA-D,./dataset/crema-d\AudioWAV\1001_ITH_FEA_XX.wav,1001_ITH_FEA_XX.wav,.wav,Crema_1001,I think I have a doctor's appointment,Male,Unspecified,Fear
31,CREMA-D,./dataset/crema-d\AudioWAV\1001_ITH_HAP_XX.wav,1001_ITH_HAP_XX.wav,.wav,Crema_1001,I think I have a doctor's appointment,Male,Unspecified,Happy
32,CREMA-D,./dataset/crema-d\AudioWAV\1001_ITH_NEU_XX.wav,1001_ITH_NEU_XX.wav,.wav,Crema_1001,I think I have a doctor's appointment,Male,Unspecified,Neutral
33,CREMA-D,./dataset/crema-d\AudioWAV\1001_ITH_SAD_XX.wav,1001_ITH_SAD_XX.wav,.wav,Crema_1001,I think I have a doctor's appointment,Male,Unspecified,Sad
34,CREMA-D,./dataset/crema-d\AudioWAV\1001_ITS_ANG_XX.wav,1001_ITS_ANG_XX.wav,.wav,Crema_1001,I think I've seen this before,Male,Unspecified,Anger
